pnum,sub,parea,pextent
1,Seagrass,1515,11.0589
2,Seagrass,4021,10.1089
3,Seagrass,8739,18.5949
4,Seagrass,10307,36.6323
5,Seagrass,556,4.8688
6,Seagrass,418,4.6582
7,Seagrass,6551,16.4832
10,Seagrass,6018,7.3421
11,Macroalgea,10089,18.146
12,Macroalgea,4548,10.1782
17,Macroalgea,2493,14.0225
18,Macroalgea,1100,8.9992
19,Macroalgea,1571,8.5939
