sizeclass,length
T1.10_15,31.75
T1.15_20,44.45
T1.20_25,57.15
T1.25_30,69.85
T1.30,82.55
T1_Unknown,NA
T2.0_5,6.35
T2.5_10,19.05
T2.10_15,31.75
T2.15_20,44.45
T2.20_25,57.15
T2.25_30,69.85
T2.30,82.55
T2.Unknown,NA
